egoid,stress,happy,health,trust,sleep_quality,sedentary,exercise_alone,exercise_others,beer,wine,caffeine,tobacco,wave
36385,2.2,0.0,2.0,3.6666667,13.0,2.3636363,1.0,0.0,0.0,1.0,4.0,3.0,4
54030,1.0,3.0,0.0,4.0,6.0,3.090909,3.0,1.0,3.0,3.0,2.0,3.0,4
67993,2.0999999,2.0,2.0,3.5,9.0,2.8181818,0.0,0.0,1.0,1.0,4.0,3.0,4
96543,1.6,0.0,2.0,3.1666667,4.0,2.909091,1.0,0.0,2.0,3.0,1.0,3.0,4
49800,2.2,0.0,1.0,2.8333333,,2.7272727,2.0,2.0,3.0,3.0,1.0,3.0,4
11002,1.1,3.0,0.0,3.8333333,3.0,2.5454545,1.0,1.0,1.0,1.0,0.0,3.0,4
72850,2.3,2.0,2.0,3.0,,2.1818182,1.0,3.0,1.0,1.0,4.0,3.0,4
15134,2.0999999,2.0,2.0,4.0,7.0,1.8181819,4.0,4.0,2.0,0.0,4.0,3.0,4
42531,1.4,2.0,2.0,3.6666667,,2.6363637,1.0,1.0,1.0,1.0,3.0,3.0,4
34062,1.8,3.0,0.0,3.0,8.0,2.1818182,4.0,4.0,1.0,1.0,4.0,3.0,4
18111,2.8,1.0,2.0,3.3333333,5.0,2.1818182,1.0,1.0,1.0,1.0,4.0,3.0,4
42646,2.0,0.0,0.0,3.5,,1.5454545,4.0,0.0,3.0,2.0,4.0,3.0,4
59097,2.2,1.0,2.0,2.8333333,6.0,2.5454545,0.0,0.0,1.0,1.0,4.0,2.0,4
91484,2.0,2.0,2.0,3.8333333,5.0,1.9090909,2.0,2.0,0.0,1.0,1.0,3.0,4
24833,1.8,2.0,2.0,3.1666667,9.0,2.7272727,1.0,1.0,1.0,1.0,4.0,3.0,4
84502,1.9,2.0,2.0,3.6666667,5.0,2.3636363,1.0,4.0,3.0,3.0,2.0,3.0,4
52123,2.0,2.0,1.0,3.6666667,,3.0,0.0,0.0,1.0,1.0,4.0,3.0,4
78783,2.3,1.0,2.0,3.6666667,5.0,2.7272727,4.0,1.0,0.0,0.0,4.0,3.0,4
